;Coreproductbrandnamemerrill;Merrill;
;Coreproductbrandnamemeshoppenstone;Meshoppen Stone;
;Coreproductbrandnamemetalconcepts;Metal Concepts;
;Coreproductbrandnamemidatlantic;Mid Atlantic;
;Coreproductbrandnamemid-americamulch;Mid-America Mulch;
;Coreproductbrandnamemilorganite;Milorganite;
;Coreproductbrandnamemiltona;Miltona;
;Coreproductbrandnameminndakmagic;Minndak Magic;
;Coreproductbrandnamemirimichigreen;Mirimichi Green;
;Coreproductbrandnamemiscellaneousirrigation;Miscellaneous Irrigation;
;Coreproductbrandnamemiscellaneousvendor;Miscellaneous Vendor;
;Coreproductbrandnamemissouriorganic;Missouri Organic;
;Coreproductbrandnamemkminerals;MK Minerals;
;Coreproductbrandnamemoldingacquisitioncorporation;Molding Acquisition Corporation;
;Coreproductbrandnamemonsanto;Monsanto;
;Coreproductbrandnamemonterey;Monterey;
;Coreproductbrandnamemoonvisions;Moon Visions;
;Coreproductbrandnamemorgro;Morgro;
;Coreproductbrandnamemortonsalt;Morton Salt;
;Coreproductbrandnamemsinternational;MS International;
;Coreproductbrandnamemtd;MTD;
;Coreproductbrandnamemulchmanufacturing;Mulch Manufacturing;
;Coreproductbrandnamemultiflow;Multi Flow;
;Coreproductbrandnamemultiplestone;Multiple Stone;
;Coreproductbrandnamemunro;Munro;
;Coreproductbrandnamemutualmaterials;Mutual Materials;
;Coreproductbrandnamemutualmaterials-oregon;Mutual Materials-Oregon;
;Coreproductbrandnamemyerspower;Myers Power;
;Coreproductbrandnamen.merfishsupply;N. Merfish Supply;
;Coreproductbrandnamenaturalpaving;Natural Paving;
;Coreproductbrandnamenaturalsoilutions;Natural Soilutions;
;Coreproductbrandnamends;NDS;
;Coreproductbrandnameneladders;NELadders;
;Coreproductbrandnamenetafim;Netafim;
;Coreproductbrandnamenewearth;New Earth;
;Coreproductbrandnamenewportsandandgravel;Newport Sand And Gravel;
;Coreproductbrandnamengturf;NG Turf;
;Coreproductbrandnamenibco;Nibco;
;Coreproductbrandnamenisus;Nisus;
;Coreproductbrandnamenorthamericanspecialtyproducts;North American Specialty Products;
;Coreproductbrandnamenorthernmetalproducts;Northern Metal Products;
;Coreproductbrandnamenorthfieldblock;Northfield Block;
;Coreproductbrandnamenorthstarindustries;Northstar Industries;
;Coreproductbrandnamenorthstarstone;Northstar Stone;
;Coreproductbrandnamenorthwestlinings&geotextile;Northwest Linings & Geotextile;
;Coreproductbrandnamenorwesco;Norwesco;
;Coreproductbrandnamenovozymesbiologicals;Novozymes Biologicals;
;Coreproductbrandnamenufarm;Nufarm;
;Coreproductbrandnamenutrientsplus;Nutrients Plus;
;Coreproductbrandnamenuwool;Nuwool;
;Coreproductbrandnamenyp;NYP;
;Coreproductbrandnamenyx;NYX;
;Coreproductbrandnameoakfieldapparatus;Oakfield Apparatus;
;Coreproductbrandnameoakville;Oakville;
;Coreproductbrandnameoatey;Oatey;
;Coreproductbrandnameoccidentalchemical;Occidental Chemical;
;Coreproductbrandnameoetiker;Oetiker;
;Coreproductbrandnameohiomulch;Ohio Mulch;
;Coreproductbrandnameohiostone;Ohio Stone;
;Coreproductbrandnameoklahoma;Oklahoma;
;Coreproductbrandnameoldcarolina;Old Carolina;
